Week,TargetOrgs,Connections,Outbound,Inbound,TotalBytes,SourceIPs,TargetIPs,SourcePorts,TargetPorts
Feb 2020,AMAZON,29230,2830952137,860145139718,862976091855,7,2603,12399,5
Feb 2020,SFU-AS,187,16793855785,1526961481,18320817266,2,3,187,2
Feb 2020,NCAR-AS,20,23333352,3729287012,3752620364,2,1,20,17
Feb 2020,CLOUDFLARENET,106,30765814,2324705115,2355470929,2,11,106,1
Feb 2020,VereinzurFoerderungeinesDeutschenForschungsnetzese.V.,1,13740368,1631666284,1645406652,1,1,1,1
Feb 2020,JiscServicesLimited,471,15231539,769609854,784841393,2,4,471,15
Feb 2020,SHAW,19,297121143,129415539,426536682,3,11,10,12
Feb 2020,TELUS,15,272546667,103538760,376085427,3,12,3,15
Feb 2020,GOOGLE,43,3779470,322227805,326007275,5,6,43,2
Feb 2020,FORTINET,5,5582464,316963410,322545874,1,4,5,1
Apr 2020,JiscServicesLimited,424,1956209142,513255487223,515211696365,2,4,421,83
Apr 2020,AMAZON,577,209169453,53368192068,53577361521,10,63,568,5
Apr 2020,CLOUDFLARENET,146,29019165,8645261523,8674280688,2,6,146,1
Apr 2020,AKAMAI,218,72906170,4543519038,4616425208,13,14,218,2
Apr 2020,NLM-GW,234,2905976,4576538083,4579444059,2,7,234,3
Apr 2020,CALCULQUEBEC,2,59447254,4362138734,4421585988,1,2,2,1
Apr 2020,VA-TECH-AS,3,41605656,3897209850,3938815506,1,1,3,1
Apr 2020,FASTLY,39,7241024,1675039493,1682280517,7,11,39,2
Apr 2020,UCSC,1,16517054,1510287536,1526804590,1,1,1,1
Apr 2020,GITHUB,28,4558754,1311364090,1315922844,2,8,28,1
Sept 2020,CLOUDFLARENET,599,110485350,39720234144,39830719494,3,17,583,1
Sept 2020,U-CHICAGO-AS,6562,201541537,24709358270,24910899807,1,1,6241,1
Sept 2020,JiscServicesLimited,166,246268444,20061224953,20307493397,2,8,166,61
Sept 2020,AMAZON,357,50136285,8127689996,8177826281,8,37,353,11
Sept 2020,DIGITALOCEAN-ASN,15023,99174654,7368095871,7467270525,1,2,13487,1
Sept 2020,UCSC,10,18976796,3839229639,3858206435,2,2,10,1
Sept 2020,GOOGLE,8,10592110,2932807016,2943399126,2,6,8,1
Sept 2020,FASTLY,78,11306643,2901296987,2912603630,4,9,78,2
Sept 2020,PENN-STATE,12,35493392,2675148487,2710641879,2,1,12,1
Sept 2020,GITHUB,58,6983349,2352627595,2359610944,2,9,58,3
Sept 2021,JiscServicesLimited,40,155505969035,110138185614,265644154649,2,6,40,25
Sept 2021,SFU-AS,30,11072520893,9728860752,20801381645,2,3,30,2
Sept 2021,GOOGLE,1634,12117195509,371907517,12489103026,4,22,1534,1
Sept 2021,SHAW,177,8149039274,1562581647,9711620921,6,46,101,82
Sept 2021,PHS,2,110107247,8679319666,8789426913,1,1,2,1
Sept 2021,CLOUDFLARENET,326,23120233,6874049604,6897169837,5,12,322,2
Sept 2021,FASTLY,86,20517134,5052580677,5073097811,7,9,86,2
Sept 2021,PCextremeB.V.,12,24606735,4574505731,4599112466,3,1,12,2
Sept 2021,TELUS,49,2597167393,619037445,3216204838,3,26,3,49
Sept 2021,USPTO,22073,137782054,2520633758,2658415812,1,1,11675,1
