Week,SourceOrgs,Connections,Outbound,Inbound,TotalBytes,SourceIPs,TargetIPs,SourcePorts,TargetPorts
Feb 2020,SHAW,520263,303574340483,32046316672,335620657155,37959,52,40207,4
Feb 2020,TELUS,391760,227287661527,45600878399,272888539926,28226,50,52390,6
Feb 2020,MICROSOFT,87455,36974634505,1213004914,38187639419,2719,38,29681,4
Feb 2020,GOOGLE,43339,29073884107,1162718202,30236602309,1675,38,23484,2
Feb 2020,ROGERS,45855,27768114973,2460988341,30229103314,7569,35,29323,4
Feb 2020,AMAZON,73160,22693411652,906060939,23599472591,2199,21,26849,2
Feb 2020,BACOM,38724,19323846257,2143263520,21467109777,3721,29,26195,3
Feb 2020,OoredooQ.S.C.,25094,14037323700,1561976555,15599300255,1329,21,17909,4
Feb 2020,AHS,22883,10574484506,1534994939,12109479445,456,33,18722,2
Feb 2020,YANDEXLLC,14362,10594921284,489375878,11084297162,212,22,11284,3
Apr 2020,SHAW,1163824,711005614295,89591199034,800596813329,43313,66,41415,6
Apr 2020,TELUS,840213,548797446929,80383600881,629181047810,33181,60,53472,5
Apr 2020,NLM-GW,1,3932154,152384294276,152388226430,1,1,1,1
Apr 2020,MICROSOFT,85786,43933648910,2930462912,46864111822,3788,34,25782,3
Apr 2020,GOOGLE,55743,42894488282,2540603751,45435092033,1978,43,26161,4
Apr 2020,ROGERS,51341,36556927807,2468734385,39025662192,6651,35,26416,3
Apr 2020,BACOM,43559,31902855480,2945495068,34848350548,4774,31,25050,2
Apr 2020,AMAZON,115273,28439058645,1246789451,29685848096,2118,31,28312,3
Apr 2020,AHS,33967,18709345546,3308550745,22017896291,446,36,24827,2
Apr 2020,JiscServicesLimited,678,1063210952,20414753004,21477963956,69,12,671,11
Sept 2020,SHAW,1411660,975545547062,111853900049,1087399447111,47026,70,45593,6
Sept 2020,TELUS,1101931,807716442297,113716689594,921433131891,37379,72,58847,6
Sept 2020,BROADINSTITUTE-AS,356,539950862,106853141091,107393091953,4,3,356,2
Sept 2020,GOOGLE,51614,93651370802,13509336120,107160706922,2282,42,26497,2
Sept 2020,BACOM,75606,67095825172,7143709026,74239534198,6096,36,34904,2
Sept 2020,ROGERS,78742,57297890067,4066827612,61364717679,9354,35,37202,2
Sept 2020,AMAZON,241660,55216528787,1964913871,57181442658,3754,52,35658,7
Sept 2020,RelianceJioInfocommLimited,45713,39864913812,2502324374,42367238186,5940,24,23389,2
Sept 2020,MICROSOFT,84683,38083032254,1116888144,39199920398,4794,41,26205,3
Sept 2020,AHS,44486,29617928664,5008446654,34626375318,491,36,30218,2
Sept 2021,SHAW,956938,650127699129,115452093413,765579792542,47171,67,40359,7
Sept 2021,TELUS,774723,491620819938,57600139815,549220959753,41857,61,58073,8
Sept 2021,GOOGLE,78005,73929528514,8768509838,82698038352,3778,35,28576,2
Sept 2021,RelianceJioInfocommLimited,91312,57636538490,3563351200,61199889690,13033,20,25774,3
Sept 2021,BACOM,74326,47205360055,3956039852,51161399907,6608,36,22685,3
Sept 2021,ROGERS,81564,45326163595,2980029569,48306193164,11118,42,40418,3
Sept 2021,O-NET,1870,42925127316,689411012,43614538328,123,16,1779,1
Sept 2021,AMAZON,130888,35737090186,1334282647,37071372833,4911,39,27003,4
Sept 2021,MICROSOFT,87235,30782660773,4207757448,34990418221,3209,40,14943,5
Sept 2021,AHS,22962,30180730795,1713893628,31894624423,478,32,18585,2
